Age,Country,EdLevel,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeWantToWorkWith
18-24 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",1,HTML/CSS;JavaScript;Julia;Python;Solidity;SQL;TypeScript,Go;HTML/CSS;Julia;Nim;Rust;TypeScript,IBM DB2;MongoDB;Redis,Redis,Fly.io;IBM Cloud Or Watson,Fly.io;Scaleway,Astro;Deno;Svelte
25-34 years old,Germany,Some college/university study without earning a degree,3,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;Ruby;SQL;Swift,MariaDB;Microsoft SQL Server;MySQL;Redis,MySQL;Redis,VMware,VMware,Laravel;Ruby on Rails;Svelte;Vue.js
18-24 years old,India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;Swift;TypeScript;Zig,MySQL;Neo4J;PostgreSQL;SQLite;Supabase,Clickhouse;Elasticsearch;Neo4J;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure;Vercel;Vultr,Astro;Express;FastAPI;jQuery;Next.js;Node.js;React
18-24 years old,Spain,Some college/university study without earning a degree,Less than 1 year,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,HTML/CSS;Java;JavaScript;Python;SQL,IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Digital Ocean,Digital Ocean,Node.js
35-44 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",17,C;C++;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;R;SQL;TypeScript,HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Elasticsearch;MySQL;PostgreSQL;Solr;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Heroku;Vercel;VMware,Amazon Web Services (AWS);Google Cloud;Heroku;Microsoft Azure;Vercel,Django;Next.js;React
35-44 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",6,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,MySQL;Redis,MySQL;Redis,Google Cloud,Google Cloud,Express;Node.js;Vue.js
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,H2;MySQL,MySQL;PostgreSQL;Redis,Digital Ocean;Google Cloud,Amazon Web Services (AWS);Databricks;Digital Ocean;Google Cloud;Hetzner,jQuery;React;Ruby on Rails
18-24 years old,Jamaica,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,HTML/CSS;JavaScript;Python;TypeScript,Go;HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL;SQLite;Supabase,Cosmos DB;Neo4J;PostgreSQL;Supabase,Cloudflare;Netlify;Render;Supabase,Cloudflare;Netlify;Render;Supabase,Express;FastAPI;Nuxt.js;React;Vue.js
25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,Dart;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Dart;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Elasticsearch;MongoDB;PostgreSQL;Supabase,Elasticsearch;MongoDB;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Firebase;Microsoft Azure;Supabase,Digital Ocean;Firebase;Microsoft Azure,Node.js;React;Ruby on Rails
18-24 years old,Spain,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,C;C#;Elixir;GDScript;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,C#;Elixir;GDScript;Go;HTML/CSS;JavaScript;Kotlin,BigQuery;Couchbase;Dynamodb;Elasticsearch;MySQL;SQLite,Elasticsearch;MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Google Cloud;Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Htmx;Phoenix;Spring Boot;Vue.js
35-44 years old,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",13,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Oracle;PostgreSQL;SQLite,Oracle;PostgreSQL;SQLite,Amazon Web Services (AWS);Hetzner,Amazon Web Services (AWS);Cloudflare;Hetzner,React;Symfony
45-54 years old,Australia,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",15,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;C++;HTML/CSS;JavaScript;MATLAB;Objective-C;Python;SQL;Swift;TypeScript,Microsoft SQL Server;MongoDB;MySQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,ASP.NET CORE;Express;Node.js;React;Vue.js
35-44 years old,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,Groovy;Python;SQL,Go;Groovy;Python;SQL,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Hetzner;Microsoft Azure,Amazon Web Services (AWS);Digital Ocean;Hetzner;Microsoft Azure,Django;Flask;Node.js
35-44 years old,France,Some college/university study without earning a degree,16,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;TypeScript,Elasticsearch;Firebase Realtime Database;MariaDB;MySQL,Elasticsearch;MariaDB;MongoDB;MySQL,Digital Ocean,Digital Ocean;Vercel,Next.js;Node.js;React;WordPress
Under 18 years old,Bangladesh,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;MySQL,Cassandra;MongoDB;MySQL;PostgreSQL;SQLite,Cloudflare;Heroku;Vercel,Amazon Web Services (AWS);Cloudflare;Vercel,Next.js;Node.js;React
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL,Bash/Shell (all shells);Go;Kotlin;Python,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,MySQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Heroku,Flask;Node.js;Vue.js
25-34 years old,Belgium,Some college/university study without earning a degree,11,C#;HTML/CSS;JavaScript;Lua;PHP;Python;SQL;VBA,C#;HTML/CSS;JavaScript;Kotlin;Lua;PHP;SQL,Microsoft SQL Server;MySQL;SQLite,MySQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean,Amazon Web Services (AWS);Microsoft Azure,Express;Node.js;React
25-34 years old,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,JavaScript;Julia;Kotlin;Python;R;Rust;TypeScript,Go;Python;Rust;Solidity;TypeScript,MongoDB;Redis,Elasticsearch;Redis,Amazon Web Services (AWS);Google Cloud;Vercel,Amazon Web Services (AWS);Google Cloud;Vercel,Astro;Django;FastAPI;Next.js;Solid.js;Strapi;Svelte
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL,Java;SQL,H2;PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Spring Boot
35-44 years old,New Zealand,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,Bash/Shell (all shells);Elixir;Go;JavaScript;PHP;TypeScript,Bash/Shell (all shells);Clojure;Elixir;F#;Go;JavaScript;Lua;PHP;TypeScript;Zig,Dynamodb;MySQL;Redis,Cassandra;Cockroachdb;Couch DB;Couchbase;Databricks SQL;Neo4J;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Fly.io;Google Cloud;OpenShift,Htmx;Phoenix;React;Solid.js;Svelte
18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,HTML/CSS;JavaScript;Ruby;SQL,Elixir;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis,Heroku;Netlify,Amazon Web Services (AWS);Digital Ocean;Heroku;Netlify;Vercel,React;Ruby on Rails;Svelte
35-44 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,11,Bash/Shell (all shells);C;C++;Go;Java;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);Go;JavaScript;PHP;Rust;SQL;TypeScript,Cassandra;Cosmos DB;Dynamodb;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Google Cloud,FastAPI;jQuery;NestJS;Next.js;React
25-34 years old,United States of America,Some college/university study without earning a degree,9,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),C#;HTML/CSS;SQL;TypeScript,Databricks SQL;Microsoft SQL Server,Databricks SQL;Microsoft SQL Server,Databricks;Microsoft Azure,Databricks;Microsoft Azure,ASP.NET CORE;Node.js;React
35-44 years old,Israel,Some college/university study without earning a degree,7,C#;SQL,C#;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET CORE
35-44 years old,Uruguay,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,Assembly;Go;HTML/CSS;JavaScript;Python;TypeScript,Assembly;HTML/CSS;JavaScript;Python;TypeScript,Clickhouse;MySQL;Redis,Redis,Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI),Cloudflare;Hetzner;Microsoft Azure,Django;Svelte
18-24 years old,Ukraine,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;Solidity;SQL;TypeScript,HTML/CSS;JavaScript;PowerShell;Solidity;SQL;TypeScript,Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Django;Express;Flask;NestJS;Node.js;React;Spring Boot
25-34 years old,Argentina,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,JavaScript;Python;SQL;TypeScript,Go;JavaScript;Python;SQL;TypeScript,MongoDB,MongoDB,Amazon Web Services (AWS),Amazon Web Services (AWS),NestJS;Next.js;Node.js;React
25-34 years old,Sri Lanka,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;Kotlin;Python;SQL;TypeScript,Bash/Shell (all shells);C#;C++;Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cloud Firestore;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Microsoft Azure,Deno;Django;Express;FastAPI;NestJS;Next.js;Node.js;React
18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Rust;SQL;TypeScript,MongoDB;Supabase,MongoDB;PostgreSQL;Supabase,Amazon Web Services (AWS);Cloudflare;Heroku;Microsoft Azure;Netlify;PythonAnywhere;Render;Supabase;Vercel,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;Netlify;Render;Supabase;Vercel,Astro;Express;NestJS;Next.js;Node.js;React
35-44 years old,Australia,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,Bash/Shell (all shells);Go;Python;SQL;TypeScript,Go;Python;Rust,Cloud Firestore;DuckDB;Dynamodb;Microsoft SQL Server;PostgreSQL;Snowflake,Cloud Firestore;Cockroachdb;EventStoreDB;Snowflake,Amazon Web Services (AWS);Firebase;Google Cloud;Vercel,Amazon Web Services (AWS);Google Cloud,FastAPI;Htmx;Vue.js
18-24 years old,Poland,Some college/university study without earning a degree,2,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,C#;HTML/CSS;PowerShell;Rust;SQL,MariaDB;Microsoft SQL Server;MySQL;SQLite,MariaDB;Microsoft SQL Server;MySQL;SQLite,Cloudflare;Microsoft Azure;OVH,Cloudflare,ASP.NET CORE;Blazor
35-44 years old,Poland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18,Bash/Shell (all shells);Go;Python;SQL,Bash/Shell (all shells);Go;Python,Dynamodb;Elasticsearch;InfluxDB;MariaDB;MySQL;Neo4J;PostgreSQL;Redis;Snowflake;SQLite,BigQuery;Elasticsearch;InfluxDB;Redis;SQLite,Amazon Web Services (AWS);Databricks;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Databricks,FastAPI
35-44 years old,Norway,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",12,Bash/Shell (all shells);JavaScript;SQL;TypeScript,C#;F#;Go;SQL;TypeScript,PostgreSQL;Redis,Cockroachdb;Neo4J;PostgreSQL,Microsoft Azure;OpenShift,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Elm;Htmx;Next.js;Node.js;Phoenix;React;Svelte
25-34 years old,Sri Lanka,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",9,Java;JavaScript,Java;JavaScript;Python;Visual Basic (.Net),Dynamodb;Firebase Realtime Database;MariaDB;MySQL;Redis;SQLite,Elasticsearch;Firebase Realtime Database;MySQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud,Google Cloud,Angular;Django;Express;jQuery;Laravel;Next.js;Node.js;React;Spring Boot;Vue.js;WordPress
25-34 years old,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9,C#;JavaScript;SQL,C#;SQL,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Microsoft Azure,Microsoft Azure,ASP.NET CORE;Blazor;Vue.js
35-44 years old,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",7,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);GDScript;Go;HTML/CSS;JavaScript;Python;SQL,BigQuery;Microsoft SQL Server;MySQL;PostgreSQL;Solr;SQLite,BigQuery;PostgreSQL;Solr;SQLite,"Cloudflare;Google Cloud;Linode, now Akamai","Google Cloud;Linode, now Akamai",FastAPI;Htmx
35-44 years old,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",,HTML/CSS;JavaScript;Python,Go;HTML/CSS;JavaScript;Python,Dynamodb;Elasticsearch;InfluxDB;Oracle;PostgreSQL;SQLite,InfluxDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud;Hetzner,FastAPI;React
35-44 years old,Austria,Some college/university study without earning a degree,23,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;Erlang;F#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Cosmos DB;Dynamodb;Microsoft SQL Server,Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,Microsoft Azure,Angular;ASP.NET CORE;Htmx
35-44 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python,C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;Rust,MariaDB;Microsoft SQL Server;MongoDB;SQLite,MariaDB;MongoDB;SQLite,"Linode, now Akamai;VMware","Linode, now Akamai;Microsoft Azure",ASP.NET CORE;FastAPI;Node.js;React
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;Python;SQL;TypeScript,Bash/Shell (all shells);Python;SQL;TypeScript,Oracle;PostgreSQL,Oracle;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular
45-54 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,14,C#;JavaScript;SQL;TypeScript,C#;JavaScript;Python;TypeScript,Cloud Firestore;Dynamodb;Microsoft SQL Server;PostgreSQL,Cockroachdb;Dynamodb;Elasticsearch;EventStoreDB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS);Vercel,ASP.NET CORE;Flask;Node.js;React;Vue.js
25-34 years old,Austria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Firebird;PostgreSQL;SQLite;Supabase,PostgreSQL;SQLite;Supabase,Digital Ocean;Netlify;Supabase,Digital Ocean;Hetzner;Netlify;Supabase,Next.js;Node.js;React
25-34 years old,Spain,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,Java;JavaScript;Kotlin;Rust;SQL,Java;JavaScript;Kotlin;Rust;SQL,Cockroachdb;Elasticsearch;Neo4J;PostgreSQL,Cockroachdb;Elasticsearch;Neo4J;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Heroku;Netlify;OpenShift;Vercel,Amazon Web Services (AWS);Cloudflare;Netlify;Vercel,Astro;Spring Boot;Vue.js
45-54 years old,Iceland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25,C++;Go;HTML/CSS;JavaScript;Lua;PHP;Python;TypeScript,Go;HTML/CSS;JavaScript;Lua,MariaDB;SQLite,SQLite,Vercel,Vercel,Next.js;Node.js;React
35-44 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",16,C#;Kotlin;Objective-C;Python;SQL;Swift,C#;F#;Go;Kotlin;Python;Rust;SQL;Swift,MongoDB,MongoDB,Firebase;Microsoft Azure;Vercel,Amazon Web Services (AWS);Firebase;Microsoft Azure;Supabase;Vercel,Node.js
55-64 years old,Poland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",31,Assembly;Bash/Shell (all shells);C;Dart;Java;PowerShell;Python;SQL,Assembly;Bash/Shell (all shells);C;Dart;Go;Java;Lisp;PowerShell;Python;SQL;Swift,IBM DB2;SQLite,IBM DB2;InfluxDB;SQLite,Google Cloud,Google Cloud;Microsoft Azure,Flask
25-34 years old,Turkey,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",11,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;PowerShell;Python;SQL;Swift;TypeScript,C#;Go;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;R;SQL;Swift;TypeScript,Elasticsearch;Firebird;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Elasticsearch;Firebird;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Heroku;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Firebase;Fly.io;Google Cloud,Angular;AngularJS;Django;Laravel;Next.js;Node.js;Nuxt.js;React;Ruby on Rails;Solid.js;Spring Boot;Vue.js
45-54 years old,Italy,Some college/university study without earning a degree,25,Java;Python;Rust,Go;Python;Rust,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Django;FastAPI;Flask;Htmx
35-44 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",13,Bash/Shell (all shells);Clojure;Crystal;Dart;HTML/CSS;JavaScript;Lisp;Python;Ruby;SQL,Bash/Shell (all shells);Clojure;Crystal;Dart;HTML/CSS;JavaScript;Lisp;Python;Ruby;SQL;Swift,Datomic;Elasticsearch;H2;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,DuckDB;EventStoreDB;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;Netlify,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Netlify;Vercel,Htmx;jQuery;Ruby on Rails
35-44 years old,Netherlands,Some college/university study without earning a degree,7,Bash/Shell (all shells);HTML/CSS;JavaScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;TypeScript,Elasticsearch;MongoDB,MongoDB,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure,Cloudflare,Deno;Node.js
35-44 years old,Netherlands,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,Bash/Shell (all shells);Go;JavaScript;Lua;Ruby;SQL,Bash/Shell (all shells);Go;Ruby;SQL,Dynamodb;MySQL;PostgreSQL;Redis,Dynamodb;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),Htmx;jQuery;Ruby on Rails
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",14,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,Digital Ocean,Digital Ocean,Svelte
35-44 years old,Netherlands,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",16,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,MongoDB,MongoDB,Amazon Web Services (AWS);Cloudflare;Heroku,Amazon Web Services (AWS);Cloudflare;Heroku,Astro;Express;Fastify;Node.js;Svelte
25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,Python,Go;Python,MySQL;PostgreSQL,MySQL;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Django;FastAPI
35-44 years old,Germany,Some college/university study without earning a degree,16,C#;HTML/CSS;JavaScript;PHP;SQL,C#;HTML/CSS;JavaScript;PHP;SQL,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Hetzner;Microsoft Azure,Hetzner;Microsoft Azure,Angular;ASP.NET CORE
45-54 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,C#;Delphi;HTML/CSS;JavaScript;Lua;Python;SQL,C#;Delphi;Python;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor
25-34 years old,Republic of Korea,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",11,C#;Java;JavaScript;Kotlin;Objective-C;PHP;Swift;TypeScript,Java;JavaScript;Kotlin;Swift;TypeScript,MariaDB;Microsoft SQL Server;MySQL;Oracle;SQLite,MariaDB;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),Express;Node.js;React
18-24 years old,"Venezuela, Bolivarian Republic of...","Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Dynamodb;MySQL;Redis,Dynamodb;Elasticsearch;MySQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Laravel;Node.js;Spring Boot
25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,HTML/CSS;Java;JavaScript;Python,HTML/CSS;Java;JavaScript;Python,H2;MySQL;Oracle,H2;MongoDB;MySQL;Oracle;PostgreSQL,Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Angular;Next.js;React;Spring Boot
25-34 years old,Hong Kong (S.A.R.),"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Elasticsearch;Microsoft Access;MySQL;PostgreSQL,Elasticsearch;Microsoft Access;MySQL;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;Next.js;Node.js;React
25-34 years old,Argentina,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",4,C++;JavaScript;Python,C;C++;Go;JavaScript;PHP;Python;Rust,BigQuery;Cloud Firestore;MongoDB;PostgreSQL;SQLite,PostgreSQL,Amazon Web Services (AWS);Google Cloud,Google Cloud;Vercel,Django;Express;FastAPI;Laravel;Node.js;React;Vue.js
55-64 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",28,C#;HTML/CSS;PowerShell;SQL;TypeScript,C#;F#;HTML/CSS;PowerShell;Rust;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;Redis,Elasticsearch;Microsoft SQL Server;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;ASP.NET CORE
25-34 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Elasticsearch;PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),FastAPI;React
25-34 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL;TypeScript,Cosmos DB;MariaDB;MongoDB;MySQL;PostgreSQL,MariaDB;MongoDB;PostgreSQL,Google Cloud;Microsoft Azure,Google Cloud;Microsoft Azure,Angular;NestJS;Next.js;Node.js;React
35-44 years old,Switzerland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Kotlin;PHP;PowerShell;SQL;TypeScript,MariaDB;MySQL;Redis;SQLite,BigQuery;MySQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Managed Hosting,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Managed Hosting,Node.js;React;Svelte;Symfony;Vue.js
